hall,(avg) cost per week,contract length,(avg) contract cost,distance from LSE,crimes number,outcode
urbanest Westminster Bridge,297.995,39,11621.805,1.5,3219,SE1
College Hall,289.73,40,11589.2,1.2,7655,WC1E
International Hall,266.28,40,10651.199999999999,1,6247,WC1N
Bankside House,259.70,39,10128.3,1.5,2392,SE1
Carr-Saunders Hall,257.25,31,7974.75,1.6,7544,W1T
Connaught Hall,273.63,40,10945.2,1.3,6760,WC1H
High Holborn Residence,317.80,39,12394.2,0.5,7225,WC1V
Passfield Hall,252.875,31,7839.125,1.5,6240,WC1H
Nutford House,250.18,40,10007.2,3.1,2803,W1H
Rosebery Hall,255.85,39,9978.15,1.6,2646,EC1R
The Garden Halls,279.195,40,11167.8,1.6,4778,WC1H
